
           ,cov_engine,cov_engine.resumecoverage,28,c:\program files\microsoft visual foxpro 8\coverage.vct,3
   0.000066,cov_engine,cov_engine.resumecoverage,30,c:\program files\microsoft visual foxpro 8\coverage.vct,3
   0.000056,cov_engine,cov_engine.resumecoverage,31,c:\program files\microsoft visual foxpro 8\coverage.vct,3
   0.000034,cov_engine,cov_engine.resumecoverage,32,c:\program files\microsoft visual foxpro 8\coverage.vct,3
   0.000069,cov_engine,cov_engine.resumecoverage,38,c:\program files\microsoft visual foxpro 8\coverage.vct,3
   0.000036,cov_engine,cov_engine.resumecoverage,39,c:\program files\microsoft visual foxpro 8\coverage.vct,3
   0.000036,cov_engine,cov_engine.resumecoverage,40,c:\program files\microsoft visual foxpro 8\coverage.vct,3
   0.000036,cov_engine,cov_engine.unload,7,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000033,cov_engine,cov_engine.unload,11,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000060,cov_frame,cov_frame.queryunload,5,c:\program files\microsoft visual foxpro 8\coverage.vct,1
   0.000035,cov_frame,cov_frame.queryunload,6,c:\program files\microsoft visual foxpro 8\coverage.vct,1
   0.000163,cov_frame,cov_frame.destroy,1,c:\program files\microsoft visual foxpro 8\coverage.vct,1
   3.330601,,main,1,c:\spectr\pioner\main.fxp,1
   0.009316,,form1.activate,1,c:\spectr\pioner\spl.sct,2
   0.001588,,form1.activate,2,c:\spectr\pioner\spl.sct,2
   0.000068,,form1.activate,4,c:\spectr\pioner\spl.sct,2
   0.000053,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000036,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000033,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000031,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000033,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000091,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000031,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000031,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000031,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000035,,form1.activate,5,c:\spectr\pioner\spl.sct,2
   0.000032,,form1.activate,5,c:\spectr\pioner\spl.sct,2
